"probeset"	"gene"	"ensemblId"	"entrezId"
"229819_at"	"229819_at"	"A1BG"	"ENSG00000121410"	"1"
"232462_s_at"	"232462_s_at"	"A1BG-AS1"	"ENSG00000268895"	"503538"
"220951_s_at"	"220951_s_at"	"A1CF"	"ENSG00000148584"	"29974"
"1558450_at"	"1558450_at"	"A2M"	"ENSG00000175899"	"2"
"1564139_at"	"1564139_at"	"A2M-AS1"	"ENSG00000245105"	"144571"
"1553505_at"	"1553505_at"	"A2ML1"	"ENSG00000166535"	"144568"
"236394_at"	"236394_at"	"A2MP1"	"ENSG00000256069"	"3"
"219488_at"	"219488_at"	"A4GALT"	"ENSG00000128274"	"53947"
"221131_at"	"221131_at"	"A4GNT"	"ENSG00000118017"	"51146"
"241552_at"	"241552_at"	"AA06"	"ENSG00000265544"	"100506677"
"218075_at"	"218075_at"	"AAAS"	"ENSG00000094914"	"8086"
"218434_s_at"	"218434_s_at"	"AACS"	"ENSG00000081760"	"65985"
"1570020_at"	"1570020_at"	"AACSP1"	NA	"729522"
"205969_at"	"205969_at"	"AADAC"	"ENSG00000114771"	"13"
"240420_at"	"240420_at"	"AADACL2"	"ENSG00000197953"	"344752"
"1569582_at"	"1569582_at"	"AADACP1"	"ENSG00000240602"	"201651"
"223593_at"	"223593_at"	"AADAT"	"ENSG00000109576"	"51166"
"227534_at"	"227534_at"	"AAED1"	"ENSG00000158122"	"195827"
"202851_at"	"202851_at"	"AAGAB"	"ENSG00000103591"	"79719"
"205434_s_at"	"205434_s_at"	"AAK1"	"ENSG00000115977"	"22848"
"220268_at"	"220268_at"	"AAMDC"	"ENSG00000087884"	"28971"
"201511_at"	"201511_at"	"AAMP"	"ENSG00000127837"	"14"
"207225_at"	"207225_at"	"AANAT"	"ENSG00000129673"	"15"
"218089_at"	"218089_at"	"AAR2"	"ENSG00000131043"	"25980"
"201000_at"	"201000_at"	"AARS"	"ENSG00000090861"	"16"
"230024_at"	"230024_at"	"AARS2"	"ENSG00000124608"	"57505"
"228041_at"	"228041_at"	"AASDH"	"ENSG00000157426"	"132949"
"202169_s_at"	"202169_s_at"	"AASDHPPT"	"ENSG00000149313"	"60496"
"210852_s_at"	"210852_s_at"	"AASS"	"ENSG00000008311"	"10157"
"1563088_a_at"	"1563088_a_at"	"AATBC"	"ENSG00000215458"	"284837"
"209165_at"	"209165_at"	"AATF"	"ENSG00000275700"	"26574"
"205986_at"	"205986_at"	"AATK"	"ENSG00000181409"	"9625"
"206527_at"	"206527_at"	"ABAT"	"ENSG00000183044"	"18"
"1570279_at"	"1570279_at"	"ABCA1"	"ENSG00000165029"	"19"
