"SampleId"	"sample_name"	"batch"	"CMS"
"1"	1	"sample_4"	1	"CMS1"
"2"	2	"sample_9"	1	"CMS1"
"3"	3	"sample_9"	1	"CMS1"
"4"	4	"sample_16"	1	"CMS1"
"5"	5	"sample_19"	1	"CMS1"
"6"	6	"sample_15"	1	"CMS2"
"7"	7	"sample_17"	1	"CMS2"
"8"	8	"sample_17"	1	"CMS2"
"9"	9	"sample_7"	1	"CMS1"
"10"	10	"sample_5"	1	"CMS2"
"11"	11	"sample_20"	1	"CMS2"
"12"	12	"sample_11"	1	"CMS3"
"13"	13	"sample_11"	1	"CMS3"
"14"	14	"sample_10"	1	"CMS3"
"15"	15	"sample_2"	1	"CMS3"
"16"	16	"sample_12"	1	"CMS4"
"17"	17	"sample_3"	1	"CMS4"
"18"	18	"sample_3"	1	"CMS4"
"19"	19	"sample_13"	1	"CMS4"
"20"	20	"sample_13"	1	"CMS4"
"21"	21	"sample_1"	1	"CMS4"
"22"	22	"sample_6"	1	"CMS4"
"23"	23	"sample_14"	1	"CMS4"
"24"	24	"sample_4"	2	"CMS1"
"25"	25	"sample_9"	2	"CMS1"
"26"	26	"sample_8"	2	"CMS2"
"27"	27	"sample_9"	2	"CMS1"
"28"	28	"sample_16"	2	"CMS1"
"29"	29	"sample_19"	2	"CMS1"
"30"	30	"sample_15"	2	"CMS2"
"31"	31	"sample_15"	2	"CMS2"
"32"	32	"sample_17"	2	"CMS2"
"33"	33	"sample_5"	2	"CMS2"
"34"	34	"sample_18"	2	"CMS2"
"35"	35	"sample_11"	2	"CMS3"
"36"	36	"sample_11"	2	"CMS3"
"37"	37	"sample_2"	2	"CMS3"
"38"	38	"sample_12"	2	"CMS4"
"39"	39	"sample_12"	2	"CMS4"
"40"	40	"sample_3"	2	"CMS4"
"41"	41	"sample_13"	2	"CMS4"
"42"	42	"sample_13"	2	"CMS4"
"43"	43	"sample_1"	2	"CMS4"
"44"	44	"sample_6"	2	"CMS4"
