CELL_LINE_NAME,AUC
22RV1,0.968893
23132-87,0.928475
42-MG-BA,0.978101
5637,0.852649
639-V,0.963836
647-V,0.958119
697,0.937381
769-P,0.91767
786-0,0.913861
8-MG-BA,0.974746
8305C,0.959877
8505C,0.961718
A101D,0.930753
A172,0.967001
A204,0.941698
A2058,0.970978
A253,0.973817
A2780,0.944818
A3-KAW,0.914625
A375,0.974561
A4-Fuk,0.978603
A498,0.974922
A549,0.929282
A673,0.973575
A704,0.948707
ACHN,0.786968
AGS,0.952687
ALL-PO,0.970207
ALL-SIL,0.93607
AM-38,0.958873
AMO-1,0.982327
AN3-CA,0.968269
ARH-77,0.986968
ASH-3,0.9706
ATN-1,0.987308
AU565,0.942397
AsPC-1,0.948591
B-CPAP,0.940765
BALL-1,0.961312
BB49-HNC,0.972964
BC-1,0.988461
BE-13,0.943501
BE2-M17,0.977453
BFTC-905,0.986175
BFTC-909,0.964973
BHT-101,0.965855
BICR10,0.961246
BICR22,0.981971
BICR78,0.898218
BL-41,0.997468
BPH-1,0.80314
BT-20,0.983049
BT-474,0.936243
BT-483,0.957063
BT-549,0.975045
BV-173,0.964692
Becker,0.978159
BxPC-3,0.940527
C-33-A,0.927982
C-4-I,0.948703
C2BBe1,0.926991
C32,0.971162
C3A,0.97532
CA46,0.938872
CADO-ES1,0.90851
CAL-120,0.942339
CAL-148,0.965933
CAL-27,0.867619
CAL-29,0.937863
CAL-33,0.88957
CAL-39,0.716492
CAL-51,0.954796
CAL-54,0.78323
CAL-62,0.974587
CAL-72,0.977559
CAL-78,0.985382
CAL-85-1,0.978676
CAMA-1,0.985879
CAPAN-1,0.901932
CAPAN-2,0.930169
CAS-1,0.961224
CCK-81,0.762842
CCRF-CEM,0.983406
CESS,0.893153
CFPAC-1,0.892516
CGTH-W-1,0.979376
CHL-1,0.943063
CHP-134,0.965657
CHP-212,0.969535
CHSA8926,0.934991
CL-11,0.966383
CL-40,0.977234
CML-T1,0.966419
COLO-205,0.974674
COLO-320-HSR,0.987209
COLO-668,0.965244
COLO-678,0.891746
COLO-679,0.978222
COLO-680N,0.951353
COLO-684,0.961342
COLO-792,0.977379
COLO-824,0.934336
COLO-829,0.935041
COR-L105,0.725957
COR-L23,0.936878
COR-L279,0.979054
COR-L311,0.990383
COR-L32,0.98163
COR-L88,0.979768
CPC-N,0.978974
CS1,0.967651
CTV-1,0.976602
CW-2,0.946688
Ca-Ski,0.914669
Ca9-22,0.808367
CaR-1,0.943989
Calu-3,0.94057
Calu-6,0.963971
Caov-4,0.923829
D-263MG,0.980041
D-283MED,0.979454
D-392MG,0.981024
DAN-G,0.964529
DB,0.937484
DBTRG-05MG,0.917055
DEL,0.922556
DG-75,0.972436
DK-MG,0.941902
DMS-114,0.976497
DMS-273,0.960897
DMS-53,0.938668
DND-41,0.98825
DOK,0.661671
DOV13,0.977538
DSH1,0.908677
DU-145,0.973005
DU-4475,0.977314
Daoy,0.971191
Daudi,0.966043
Detroit562,0.906109
DiFi,0.670651
DoTc2-4510,0.91989
EB-3,0.968422
EB2,0.943597
EBC-1,0.95213
EC-GI-10,0.786528
ECC10,0.956046
EFM-19,0.977113
EFM-192A,0.939651
EFO-21,0.926965
EGI-1,0.961495
EJM,0.971946
EM-2,0.949624
EMC-BAC-2,0.90249
EN,0.976712
EPLC-272H,0.929407
ES-2,0.955321
ES1,0.934252
ES4,0.931767
ES6,0.96298
ES7,0.982904
ES8,0.968683
ESO26,0.958629
ESO51,0.971118
ESS-1,0.988261
ETK-1,0.939866
EVSA-T,0.968384
EW-11,0.975941
EW-13,0.962863
EW-16,0.94319
EW-18,0.982572
EW-22,0.965247
EW-24,0.971056
EW-3,0.983804
EW-7,0.946909
EoL-1-cell,0.960117
FADU,0.880954
FLO-1,0.96365
FTC-133,0.944271
FU-OV-1,0.961574
FU97,0.966824
G-292-Clone-A141B1,0.970268
G-361,0.958928
G-401,0.950307
G-402,0.978917
GA-10,0.939721
GAK,0.978278
GAMG,0.988601
GB-1,0.917128
GCIY,0.928409
GCT,0.979827
GDM-1,0.945768
GI-1,0.978571
GI-ME-N,0.952094
GOTO,0.959992
GP5d,0.975735
GR-ST,0.968302
GRANTA-519,0.984112
H-EMC-SS,0.975483
H4,0.961416
H9,0.949736
HAL-01,0.973576
HARA,0.935664
HC-1,0.987097
HCC-15,0.934529
HCC-44,0.983099
HCC-78,0.971719
HCC-827,0.502491
HCC1143,0.920315
HCC1187,0.967575
HCC1395,0.968186
HCC1419,0.967617
HCC1428,0.96461
HCC1500,0.976666
HCC1806,0.907052
HCC1937,0.933794
HCC1954,0.965788
HCC2157,0.958858
HCC2998,0.985538
HCC38,0.980211
HCC70,0.976106
HCT-116,0.990861
HCT-15,0.949158
HD-MY-Z,0.965646
HDLM-2,0.917686
HDQ-P1,0.832352
HEC-1,0.974277
HGC-27,0.945303
HH,0.983889
HL-60,0.98879
HLE,0.968024
HMV-II,0.965219
HO-1-N-1,0.91737
HO-1-u-1,0.850394
HOP-62,0.944529
HOP-92,0.924703
HOS,0.954151
HPAC,0.911725
HPAF-II,0.929096
HSC-2,0.903658
HSC-3,0.855933
HSC-39,0.96313
HSC-4,0.866962
HT-1080,0.954583
HT-1197,0.945845
HT-1376,0.885826
HT-144,0.959272
HT-29,0.976323
HT-3,0.942601
HT55,0.903307
HTC-C3,0.947516
HeLa,0.988073
Hey,0.909825
Hs-445,0.925701
Hs-578-T,0.976074
Hs-633T,0.988239
Hs-746T,0.956216
Hs-766T,0.954568
HuCCT1,0.898811
HuH-7,0.969174
HuO-3N1,0.978243
HuO9,0.979535
HuP-T3,0.958674
HuP-T4,0.899283
IA-LM,0.988247
IGR-1,0.971648
IGR-37,0.97972
IGROV-1,0.789597
IHH-4,0.978473
IM-9,0.979942
IM-95,0.959976
IMR-5,0.979466
IST-MEL1,0.971119
IST-MES1,0.970442
IST-SL2,0.948826
J82,0.947456
JHH-1,0.908569
JHH-2,0.957262
JHH-4,0.951484
JHH-6,0.953076
JHH-7,0.967864
JHU-022,0.811959
JIMT-1,0.976128
JJN-3,0.966159
JSC-1,0.935479
JVM-2,0.91416
JVM-3,0.945743
JiyoyeP-2003,0.863803
Jurkat,0.950904
K-562,0.983151
K5,0.975876
KALS-1,0.976388
KARPAS-1106P,0.983692
KARPAS-231,0.964268
KARPAS-299,0.98851
KARPAS-422,0.975968
KARPAS-45,0.966209
KARPAS-620,0.976779
KATOIII,0.954463
KCL-22,0.969089
