Model,BestAvgResponse
X-1156,130.42000000000002
X-1172,46.1
X-1323,-4.299999999999997
X-1442,0.049999999999997165
X-1499,98.84
X-1586,-23.349999999999994
X-1658,-65.08461538461539
X-1683,-56.24444444444444
X-1725,-16.1875
X-1787,95.0
X-1823,36.16666666666666
X-1834,10.099999999999994
X-1835,-5.5
X-1934,96.35
X-1980,4.359999999999985
X-1993,-2.299999999999997
X-2017,45.32499999999999
X-2042,-23.60000000000001
X-2082,1.1666666666666714
X-2088,93.56666666666668
X-2094,102.88000000000002
X-3029,-51.69583333333333
X-3237,8.075000000000003
X-3843,79.975
X-4819,297.23333333333335
